Country,ISO3 Code,Date,Price (EUR/MWhe)
Austria,AUT,2016-08-20,24.12
Austria,AUT,2016-08-21,15.35
Austria,AUT,2016-08-22,28.6
Austria,AUT,2016-08-23,31.55
Austria,AUT,2016-08-24,29.51
Austria,AUT,2016-08-25,28.75
Austria,AUT,2016-08-26,29.75
Austria,AUT,2016-08-27,25.98
Austria,AUT,2016-08-28,21.75
Austria,AUT,2016-08-29,29.1
Austria,AUT,2016-08-30,32.14
Austria,AUT,2016-08-31,30.6
Austria,AUT,2016-09-01,31.32
Austria,AUT,2016-09-02,30.96
Austria,AUT,2016-09-03,29.2
Austria,AUT,2016-09-04,24.14
Austria,AUT,2016-09-05,37.12
Austria,AUT,2016-09-06,32.87
Austria,AUT,2016-09-07,30.82
Austria,AUT,2016-09-08,30.94
Austria,AUT,2016-09-09,32.79
Austria,AUT,2016-09-10,27.85
Austria,AUT,2016-09-11,27.28
Austria,AUT,2016-09-12,33.29
Austria,AUT,2016-09-13,31.67
Austria,AUT,2016-09-14,29.07
Austria,AUT,2016-09-15,27.91
Austria,AUT,2016-09-16,32.98
Austria,AUT,2016-09-17,27.08
Austria,AUT,2016-09-18,24.95
Austria,AUT,2016-09-19,34.83
Austria,AUT,2016-09-20,34.56
Austria,AUT,2016-09-21,35.05
Austria,AUT,2016-09-22,32.59
Austria,AUT,2016-09-23,31.1
Austria,AUT,2016-09-24,29.17
Austria,AUT,2016-09-25,23.15
Austria,AUT,2016-09-26,37.05
Austria,AUT,2016-09-27,34.19
Austria,AUT,2016-09-28,24.22
Austria,AUT,2016-09-29,22.9
Austria,AUT,2016-09-30,34.26
Austria,AUT,2016-10-01,33.11
Austria,AUT,2016-10-02,29.91
Austria,AUT,2016-10-03,30.34
Austria,AUT,2016-10-04,30.22
Austria,AUT,2016-10-05,28.93
Austria,AUT,2016-10-06,32.23
Austria,AUT,2016-10-07,38.56
Austria,AUT,2016-10-08,35.97
Austria,AUT,2016-10-09,33.47
Austria,AUT,2016-10-10,50.23
Austria,AUT,2016-10-11,38.04
Austria,AUT,2016-10-12,36.88
Austria,AUT,2016-10-13,33.43
Austria,AUT,2016-10-14,29.2
